callsign	entity	grid	year	qsos	start_ts	end_ts
TJ9MD	Cameroon	JJ53	2023	101419	2023-11-04 04:00:00	2023-11-14 22:48:00
TX7L	Marquesas Islands	BI91	2023	53637	2023-11-05 04:44:00	2023-11-19 17:26:00
4W8X	Timor-Leste	PI21	2023	163242	2023-11-07 18:52:00	2023-12-03 08:25:00
7O73T	Yemen	LK22	2023	41304	2023-11-11 04:38:00	2023-11-27 17:22:00
VK9XY	Christmas Island	OH29	2023	35357	2023-11-15 21:13:00	2023-11-27 18:44:00
H44WA	Solomon Islands	RI00	2023	60503	2023-11-16 02:18:00	2023-11-29 08:41:00
XW4DX	Laos	OK17	2023	43616	2023-11-17 21:14:00	2023-11-27 06:10:00
VU7A	Lakshadweep Islands	MK60	2023	41602	2023-12-05 02:11:00	2023-12-13 09:59:00
T32TT	Eastern Kiribati	BJ11	2023	188203	2023-12-05 07:01:00	2024-01-06 17:33:00
PJ5/SP9FIH	Saba & St Eustatius	FK87	2024	123427	2024-01-16 05:09:00	2024-04-03 20:42:00
ZD7Z	Saint Helena	IH74	2024	47638	2024-01-16 23:39:00	2024-02-03 17:28:00
TX5S	Clipperton Island	DK50	2024	113774	2024-01-20 09:13:00	2024-01-28 19:59:00
5X7O	Uganda	KJ60	2024	46388	2024-02-07 16:00:00	2024-02-19 12:09:00
CB0ZA, ZEW, ZW	Juan Fernandez Islands	FF06	2024	93908	2024-02-13 07:45:00	2024-02-24 07:39:00
8R7X	Guyana	GJ06	2024	73426	2024-02-13 22:20:00	2024-02-25 18:21:00
FW8GC, TX8GC	Wallis & Futuna Islands	AH16	2024	54970	2024-02-19 11:05:00	2024-03-09 05:04:00
H40WA	Temotu Province	RH29	2024	60527	2024-02-25 07:00:00	2024-03-06 05:07:00
TY5C	Benin	JJ16	2024	41334	2024-03-03 16:13:00	2024-03-29 18:02:00
J38R	Grenada	FK92	2024	92782	2024-03-05 06:25:00	2024-03-17 16:19:00
T32EU	Eastern Kiribati	BJ11	2024	40262	2024-03-13 13:36:00	2024-03-26 07:01:00
7P8EI	Lesotho	KG30	2024	52079	2024-03-21 15:01:00	2024-03-29 23:59:00
A8OK	Liberia	IJ46	2024	122337	2024-04-05 20:24:00	2024-04-18 18:56:00
TX7W	Austral Islands	BG56	2024	60591	2024-04-17 03:40:00	2024-05-01 03:03:00
